customer_id,age,region,income,join_date
1,56,BC,67198,2019-05-25
2,69,QC,38820,2022-09-28
3,46,ON,54070,2019-06-30
4,32,BC,99768,2022-05-07
5,60,QC,41122,2019-09-16
6,25,ON,110559,2022-11-23
7,78,BC,103543,2019-08-17
8,38,BC,113441,2020-01-14
9,56,QC,71786,2021-06-04
10,75,QC,36737,2022-11-04
11,36,QC,66062,2022-10-23
12,40,ON,84237,2021-12-30
13,28,QC,81571,2023-05-03
14,28,BC,55510,2021-12-16
15,41,BC,49426,2019-07-08
16,70,QC,67265,2018-01-21
17,53,QC,47850,2019-07-08
18,57,AB,96150,2019-02-01
19,41,BC,117312,2019-09-17
20,20,ON,119613,2018-04-15
21,39,AB,104910,2018-07-11
22,70,QC,82375,2018-01-17
23,19,QC,65435,2021-02-17
24,41,BC,87132,2019-01-28
25,61,QC,108945,2019-03-01
26,47,ON,112050,2018-05-09
27,55,BC,32983,2021-02-27
28,19,QC,50662,2019-07-26
29,77,BC,53510,2022-05-03
30,38,QC,108187,2018-01-29
31,50,QC,70998,2021-01-25
32,29,QC,86846,2020-10-30
33,75,ON,36640,2018-08-30
34,39,ON,74547,2023-01-24
35,78,BC,84620,2023-06-03
36,61,QC,45317,2018-08-20
37,42,QC,37564,2020-02-28
38,66,ON,57345,2021-07-31
39,44,QC,109273,2019-12-16
40,76,ON,104859,2020-01-29
41,59,QC,110765,2020-03-12
42,45,BC,104038,2020-02-15
43,77,QC,82393,2023-06-02
44,33,QC,96081,2019-12-27
45,32,AB,59430,2018-07-19
46,79,ON,105532,2020-08-02
47,79,QC,57788,2018-03-20
48,64,QC,78543,2023-04-21
49,79,AB,43919,2020-08-13
50,68,AB,99346,2023-02-22
51,61,ON,69974,2020-05-05
52,72,AB,46371,2021-04-11
53,69,BC,75084,2019-04-12
54,74,AB,59629,2019-08-04
55,20,BC,81184,2021-12-10
56,54,ON,91916,2020-07-28
57,68,ON,103972,2019-03-25
58,24,ON,92187,2018-03-28
59,38,ON,42984,2018-04-11
60,26,ON,63039,2020-10-28
61,56,BC,115431,2020-04-24
62,35,BC,113691,2021-05-08
63,21,ON,88606,2022-03-09
64,42,AB,40616,2018-03-28
65,77,QC,80072,2018-02-12
66,31,ON,54574,2021-11-09
67,67,AB,33430,2022-07-03
68,75,QC,42676,2021-12-29
69,26,ON,40816,2019-02-12
70,43,ON,62733,2022-02-15
71,70,BC,115680,2019-10-26
72,19,QC,32050,2020-11-06
73,37,QC,63933,2022-07-27
74,45,AB,54951,2018-05-28
75,64,BC,62413,2018-10-04
76,77,BC,64801,2018-08-20
77,24,BC,85619,2023-01-24
78,61,BC,62913,2023-05-05
79,78,QC,70600,2019-01-01
80,25,QC,87775,2021-06-05
81,64,ON,65400,2022-08-02
82,52,ON,34494,2019-03-12
83,31,BC,110688,2019-02-03
84,34,BC,119431,2021-05-19
85,53,BC,104691,2021-11-15
86,67,ON,73001,2019-05-14
87,57,AB,97364,2019-06-24
88,21,AB,75028,2019-07-17
89,19,ON,67573,2022-02-23
90,79,ON,30806,2019-03-18
91,23,ON,86638,2021-07-08
92,71,ON,59757,2020-02-12
93,59,ON,64636,2018-12-16
94,21,ON,110097,2021-10-07
95,71,BC,78280,2019-06-04
96,46,BC,54262,2021-09-05
97,35,BC,110435,2018-05-18
98,43,BC,92211,2022-04-23
99,61,ON,84842,2022-07-05
100,51,AB,86979,2020-09-18
101,27,QC,111470,2019-01-03
102,79,ON,68197,2021-05-28
103,53,QC,71844,2021-09-22
104,31,AB,94754,2021-05-31
105,48,BC,64157,2022-07-30
106,65,AB,107129,2022-11-27
107,32,ON,70042,2018-12-26
108,25,BC,91665,2020-07-09
